Timestamp;TEMPERATURE[degC];HUMIDITY[%];WIND_SPEED[m1s];WIND_DIR[deg];GHI[kW1m2];POA Irr[kW1m2];P_Gaia[kW];P_Solar[kW];Pressure[mbar];Azimuth[deg];Elevation[deg]
43342,33333;16,10897222;1;1,662777778;94,83638889;0,058026667;0,034586944;0;0,261880259;1000;0;0
43342,375;16,29066667;1;1,397027778;81,835;0,067958056;0,040033056;0;0,302626371;1000;0;0
43342,41667;16,29169444;1;1,263805556;114,3861111;0,060128056;0,036825833;0;0,278484823;1000;0;0
43342,45833;16,26208333;1;1,481305556;181,5277778;0,0757525;0,047153056;0;0,356177078;1000;0;0
43342,5;16,04344444;1;1,581611111;174,0427778;0,037197222;0,02185;0;0,165757055;1000;0;0
43342,54167;15,53805556;1;2,460222222;229,6152778;0,024625833;0,015246111;0;0,116035696;1000;0;0
43342,58333;15,48266667;1;2,266777778;182,1169444;0,027327222;0,017996389;0;0,136952654;1000;0;0
43342,625;15,19863889;1;2,124444444;188,6288889;0,023376667;0,014290278;0;0,108936523;1000;0;0
43342,66667;15,08497222;1;1,547444444;201,6375;0,020481389;0,011980833;0;0,091398984;1000;0;0
43342,70833;15,25083333;0,981305556;1,744083333;227,0888889;0,010076111;0,007249722;0;0,055299148;1000;0;0
43342,75;15,49494444;0,9;1,660694444;228,4483333;0,000045;0,000186389;0;0,00142143;1000;0;0
43342,79167;15,69002778;0,9;1,589277778;239,2269444;0;0;0;0;1000;0;0
43342,83333;15,39238889;0,9;1,369166667;303,9936111;0;0;0;0;1000;0;0
43342,875;15,20516667;0,9;1,582472222;316,6138889;0;0;0;0;1000;0;0
43342,91667;15,24283333;0,9;1,8885;302,2136111;0;0;0;0;1000;0;0
43342,95833;15,50438889;0,9;1,69625;277,2369444;0;0;0;0;1000;0;0
43343;30,82075577;1,8;3,886718533;631,9758266;0;0;0,4078975;0;2000;0;0
43590;3,309391498;1,602917477;2,437732704;328,0183384;0;0;0;0;2000;0;0
43590,04167;1,868444444;0,8;0,943833333;177,2094444;0;0;0;0;1000;0;0
43590,08333;1,354416667;0,791444444;1,26875;200,8986111;0;1,16667E-05;0;0;1000;0;0
43590,125;1,949583333;0,8;1,909666667;220,9397222;0,009032222;0,006785278;0;0,054871507;1000;0;0
43590,16667;3,3;0,8;2,137527778;217,1211111;0,090496389;0,031618056;0;0,253484477;1000;0;0
43590,20833;5,277666667;0,8;2,326972222;204,6172222;0,242178889;0,058223056;0;0,461395147;1000;0;0
43590,25;7,581388889;0,701944444;3,174916667;226,2208333;0,404297222;0,131990278;0;1,027348361;1000;0;0
43590,29167;9,225833333;0,57775;4,273166667;241,8886111;0,564844722;0,376591389;0;2,8378157;1000;0;0
43590,33333;10,47333333;0,506194444;4,810138889;241,7561111;0,630688056;0,526202222;0;3,88619569;1000;0;0
43590,375;11,53397222;0,48175;5,290444444;251,6975;0,764940278;0,758666667;0;5,450422039;1000;0;0
43590,41667;12,13016667;0,415222222;5,6835;257,4666667;0,76994;0,834617778;0;5,943906563;1000;0;0
43590,45833;12,34908333;0,414611111;5,728722222;269,0588889;0,751124444;0,800583611;0;5,717133178;1000;0;0
43590,5;11,77486111;0,434388889;5,975388889;270,5191667;0,492236667;0,487689444;0;3,608266443;1000;0;0
43590,54167;11,67325;0,484722222;5,942361111;262,4922222;0,464823611;0,436955278;0;3,250311091;1000;0;0
43590,58333;11,57022222;0,495666667;6,455611111;273,8513889;0,413771944;0,414210833;0;3,093554167;1000;0;0
43590,625;10,78319444;0,502361111;7,114611111;294,2480556;0,353884722;0,364107222;0;2,746003211;1000;0;0
43590,66667;9,624361111;0,509222222;7,128333333;291,1758333;0,1434725;0,122656111;0;0,95004263;1000;0;0
43590,70833;9,201111111;0,510472222;5,472944444;283,8511111;0,102052778;0,070809167;0;0,551599087;1000;0;0
43590,75;8,886805556;0,598777778;4,9685;283,8502778;0,014716111;0,009740833;0;0,076432065;1000;0;0
